Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,DUIDUn,Reg Cap,Inertia Constant per Unit,Inertia,Units,Technology Descriptor,Comments,Unit hard code,DUID Hardcode
Mt Millar Wind Farm Pty Ltd,Mt Millar Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,2,N,MTMILLAR,70,70,0,MTMILLAR,70,0,0,35,Wind - Onshore,,TRUE,TRUE
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,18-73,2.5,Y, - , - , - , - ,NA,,0,0,,Wind - Onshore,,#VALUE!,FALSE
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-17.,1.5,Y,GULLRWF1,166,172,34,GULLRWF1,166,0,0,73,Wind - Onshore,,FALSE,TRUE
Origin Energy Electricity Limited,Cullerin Range Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,2,N,CULLRGWF,30,30,0,CULLRGWF,30,0,0,15,Wind - Onshore,,TRUE,TRUE
Origin Energy Electricity Limited,Wonthaggi Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,0,Renewable,Wind - Onshore,1-Jun,2,Y,WONWP,12,12,0,WONWP,12,0,0,6,Wind - Onshore,,TRUE,TRUE
Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,VIC1,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,1.5,Y,CHALLHWF,52.5,53,0,CHALLHWF,52.5,0,0,35,Wind - Onshore,,TRUE,TRUE
Pacific Hydro Clements Gap Pty Ltd,Clements Gap Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-27,2,N,CLEMGPWF,57,57,12,CLEMGPWF,57,0,0,27,Wind - Onshore,,FALSE,TRUE
Pacific Hydro Portland Wind Farm Pty Ltd,Portland Wind Farm,VIC1,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-74,2,Y,PORTWF,148,148,0,PORTWF,148,0,0,74,Wind - Onshore,,TRUE,TRUE
Pyrenees Wind Energy Development Pty Ltd,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,1.5,Y,WAUBRAWF,192,192,0,WAUBRAWF,192,0,0,128,Wind - Onshore,,TRUE,TRUE
Red Energy Pty Limited,Hepburn Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,2.05,N,HEPWIND1,4.1,4.1,0,HEPWIND1,4.1,0,0,2,Wind - Onshore,,TRUE,TRUE
Snowtown Wind Farm Pty Ltd,Snowtown Wind Farm Units 1 And 47,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,2.1,N,SNOWTWN1,99,99,20,SNOWTWN1,99,0,0,47,Wind - Onshore,,FALSE,TRUE
Snowtown Wind Farm Stage 2 Pty ltd ,Snowtown South Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,3,N,SNOWSTH1,126,126,50,SNOWSTH1,126,0,0,42,Wind - Onshore,,TRUE,TRUE
Snowtown Wind Farm Stage 2 Pty ltd ,Snowtown Wind Farm Stage 2 North,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3,N,SNOWNTH1,144,144,50,SNOWNTH1,144,0,0,48,Wind - Onshore,,TRUE,TRUE
Starfish Hill Wind Farm Pty Ltd ,Starfish Hill Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-23,1.5,N,STARHLWF,34.5,35,0,STARHLWF,34.5,0,0,23,Wind - Onshore,,TRUE,TRUE
Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,.1-51,106.8,N,TARALGA1,106.8,106.8,0,TARALGA1,106.8,0,0,1,Wind - Onshore,,TRUE,TRUE
Toora Wind Farm Pty Ltd ,Toora Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Dec,1.75,Y,TOORAWF,21,21,0,TOORAWF,21,0,0,12,Wind - Onshore,,TRUE,TRUE
Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-37,3,N,WATERLWF,111,111,23,WATERLWF,111,0,0,37,Wind - Onshore,,TRUE,TRUE
Windy Hill Wind Farm Pty Ltd ,Windy Hill Wind Farm,QLD1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,0.6,Y,WHILL1,12,12,0,WHILL1,12,0,0,20,Wind - Onshore,,TRUE,TRUE
Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-23,2.1,N,WOODLWN1,48,48,13,WOODLWN1,48,0,0,23,Wind - Onshore,,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,51275.807,,,,50781.013,,,,,,,
,,,,,,,,,,,,,,,,,,494.794,,,,,,,
